ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,codeReference,status,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Countries,Family_ID,Language_ID.y
nort2885-aes,nort2885,aes,1,aes-not_endangered,"Subanen, Northern (stb-stb) = 5 (Developing).",hh:h:Ethnologue:25,NA,not_endangered,Northern Subanen,Papunesia,8.5232,123.588,nort2885,stb,PH,aust1307,NA
east2694-aes,east2694,aes,2,aes-threatened,"Subanen, Eastern (sfe-sfe) = 6b* (Threatened).",hh:h:Ethnologue:25,NA,threatened,Eastern Subanen,Papunesia,8.2475,123.5234,east2694,sfe,PH,aust1307,NA
cent2089-aes,cent2089,aes,1,aes-not_endangered,"Subanen, Central (syb-syb) = 5 (Developing).",hh:h:Ethnologue:25,NA,not_endangered,Central Subanen,Papunesia,8.12701,123.018,cent2089,syb,PH,aust1307,NA
cala1258-aes,cala1258,aes,1,aes-not_endangered,"Tagbanwa, Calamian (tbk-tbk) = 5 (Developing).",hh:h:Ethnologue:25,NA,not_endangered,Calamian Tagbanwa,Papunesia,12.0716,120.094,cala1258,tbk,PH,aust1307,NA
agut1237-aes,agut1237,aes,1,aes-not_endangered,Agutaynen (agn-agn) = 5 (Developing).,hh:h:Ethnologue:25,NA,not_endangered,Agutaynen,Papunesia,10.5328,119.655,agut1237,agn,PH,aust1307,NA
kawi1241-aes,kawi1241,aes,6,aes-extinct,Kawi (kaw-kaw) = 10 (Extinct).,NA,NA,extinct,Kawi,Papunesia,-7,111,kawi1241,kaw,ID,aust1307,NA
teng1272-aes,teng1272,aes,1,aes-not_endangered,Tengger (tes-tes) = 6a* (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Tengger,Papunesia,-7.89069,113.037,teng1272,tes,ID,aust1307,NA
cari1276-aes,cari1276,aes,1,aes-not_endangered,"Javanese, Suriname (jvn-jvn) = 5 (Developing).",hh:h:Ethnologue:25,NA,not_endangered,Caribbean Javanese,South America,5.62695,-54.6305,cari1276,jvn,GF;SR,aust1307,NA
java1254-aes,java1254,aes,1,aes-not_endangered,Javanese (jav-jav) = 4 (Educational). De facto language of provincial identity in central and eastern Java.,hh:h:Ethnologue:25,NA,not_endangered,Javanese,Papunesia,-7.001,109.287,java1254,jav,ID;MY,aust1307,NA
newc1244-aes,newc1244,aes,3,aes-shifting,"Javanese, New Caledonian (jas-jas) = 7 (Shifting).",hh:h:Ethnologue:25,NA,shifting,New Caledonian Javanese,Papunesia,-22.3001,166.445,newc1244,jas,NC,aust1307,NA
osin1237-aes,osin1237,aes,1,aes-not_endangered,Osing (osi-osi) = 6a (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Osing,Papunesia,-8.25262,114.292,osin1237,osi,ID,aust1307,NA
tomi1243-aes,tomi1243,aes,3,aes-shifting,"Tomini (2793-txm) = Threatened (100 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Tomini,Papunesia,0.42569,120.89,tomi1243,txm,ID,aust1307,NA
lauj1238-aes,lauj1238,aes,3,aes-shifting,"Lauje (1332-law) = Threatened (40 percent certain, based on the evidence available); Ampibabo (1333-law-amp) = Threatened (40 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Lauje,Papunesia,0.50708,120.262,lauj1238,law,ID,aust1307,NA
dond1249-aes,dond1249,aes,3,aes-shifting,"Dondo (1485-dok) = Threatened (40 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Dondo,Papunesia,0.80348,120.707,dond1249,dok,ID,aust1307,NA
taji1246-aes,taji1246,aes,3,aes-shifting,"Tajio (2786-tdj) = Threatened (100 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Tajio,Papunesia,-0.31553,120.01,taji1246,tdj,ID,aust1307,NA
damp1237-aes,damp1237,aes,2,aes-threatened,"Dampelas (1412-dms) = Vulnerable (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,threatened,Dampelas,Papunesia,0.70234,120.219,damp1237,dms,ID,aust1307,NA
taje1237-aes,taje1237,aes,5,aes-nearly_extinct,"Taje (2784-pee) = Critically Endangered (100 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,nearly_extinct,Taje,Papunesia,-0.72583,120.078,taje1237,pee,ID,aust1307,NA
bala1314-aes,bala1314,aes,3,aes-shifting,"Balaesang (1356-bls) = Threatened (100 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Balaesang,Papunesia,-0.05644,119.689,bala1314,bls,ID,aust1307,NA
pend1242-aes,pend1242,aes,3,aes-shifting,"Pendau (2769-ums) = Threatened (100 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Pendau,Papunesia,-0.11396,119.862,pend1242,ums,ID,aust1307,NA
bone1254-aes,bone1254,aes,1,aes-not_endangered,Bonerate (bna-bna) = 6a (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Bonerate,Papunesia,-7.37657,121.792,bone1254,bna,ID,aust1307,NA
tuka1249-aes,tuka1249,aes,1,aes-not_endangered,Tukang Besi South (bhq-bhq) = 6a (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Tukang Besi South,Papunesia,-5.7478,123.948,tuka1249,bhq,ID,aust1307,NA
tuka1248-aes,tuka1248,aes,1,aes-not_endangered,Tukang Besi North (khc-khc) = 6a (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Tukang Besi North,Papunesia,-5.30994,123.578,tuka1248,khc,ID,aust1307,NA
buso1238-aes,buso1238,aes,3,aes-shifting,"Busoa (1410-bup) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Busoa,Papunesia,-5.60524,122.622,buso1238,bup,ID,aust1307,NA
kaim1241-aes,kaim1241,aes,1,aes-not_endangered,Kaimbulawa (zka-zka) = 6a (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Kaimbulawa,Papunesia,-5.65447,122.538,kaim1241,zka,ID,aust1307,NA
panc1247-aes,panc1247,aes,1,aes-not_endangered,Pancana (pnp-pnp) = 6a (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Pancana,Papunesia,-5.29587,122.968,panc1247,pnp,ID,aust1307,NA
kiok1239-aes,kiok1239,aes,2,aes-threatened,Kioko (ues-ues) = 6b (Threatened).,hh:h:Ethnologue:25,NA,threatened,Kioko,Papunesia,-4.99012,122.951,kiok1239,ues,ID,aust1307,NA
liab1237-aes,liab1237,aes,4,aes-moribund,"Liabuku (4509-lix) = Severely Endangered (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,moribund,Liabuku,Papunesia,-5.32268,122.699,liab1237,lix,ID,aust1307,NA
